COMP,x,y
36,-71.307928,44.050881
41,-71.308750,44.058972
42,-71.308120,44.059944
45,-71.304611,44.059278
45A,-71.303074,44.061186
45B,-71.297795,44.062155
7_8,-71.289142,44.073162
CC,-71.319924,44.041766
5_6,-71.273831,44.049467
